RowNumber,CustomerId,Surname,credit_score,age,balance,estimated_salary,client_risk,random_id,timestamp,junk_feature
1,025f9981-bb30-4a2f-a330-b724dad948bf,Rodriguez,674,59,7640.97,93775.43,0,96786785,2023-07-27 22:02:07,1.8089
2,ec6f697a-a2ac-484b-8a4c-824e86b6ec41,Wilson,643,34,31530.43,35142.27,1,99238007,2023-09-22 10:29:18,-0.9953
3,ea6d3506-c200-4b65-82cc-887aacee48c3,Garcia,682,48,22079.11,10877.25,1,10966164,2023-09-29 21:22:29,-1.7722
4,5847303c-4b1e-4db3-bf7b-07f47f61d121,Garcia,726,70,39981.43,22544.21,1,74178329,2023-01-16 07:22:24,0.9413
5,f1c1cd0b-6992-4618-bbd0-34a2ee9787ba,Davis,638,51,61289.88,14324.34,2,66727775,2023-02-28 14:19:04,-0.3608
6,131f5065-79e6-4d7e-8c8d-86bece334e4b,Smith,638,55,57715.11,8067.96,2,57805013,2023-05-31 06:36:53,-0.4666
7,c40af04a-6490-42a9-832c-23d300515c37,Garcia,728,54,36233.95,28448.52,1,95030440,2023-03-04 10:08:50,1.478
8,8756f588-0c2e-4ff0-a0da-1a5e8853a4bd,Brown,688,21,31212.3,46713.97,1,63132109,2023-01-16 15:09:14,0.1698
9,605a6a9e-61cc-4a29-bc34-d5e6e272ede3,Smith,626,19,25359.58,4532.02,2,34528289,2023-12-28 17:42:41,0.9042
10,aca826fb-1627-436a-b265-ab8f0a2f1f4f,Smith,677,29,98992.46,55553.71,1,37620836,2023-11-11 15:17:17,-0.6226
11,da7e7c9a-09af-483c-a883-a11b3b3570fa,Williams,626,52,20087.49,297920.56,0,33757483,2023-06-30 19:37:47,-0.7251
12,109e4376-5ce9-4a92-bf5d-bf632820e7b0,Williams,626,23,15012.42,199662.76,0,93707776,2023-02-01 06:22:19,-0.3654
13,07e5842b-4c5a-492f-9b09-e12603506020,Wilson,662,63,67995.38,106026.41,0,53455538,2023-08-30 11:20:50,0.6704
14,2ab3b034-14a5-480e-9a7e-75d819cf629d,Smith,554,25,22295.88,18582.67,2,44264693,2023-03-01 08:04:58,0.0509
15,e8e86098-a652-4810-a4ab-a7af538360d7,Garcia,563,38,93865.41,1359.75,2,96404375,2023-11-16 05:55:28,0.468
16,008e1e96-ada4-4b9d-8df9-2f19031f7985,Brown,621,70,19866.57,107580.63,0,80379691,2023-10-07 15:46:42,-2.6032
17,1b9e7485-2597-42fc-889a-f78e10d87018,Brown,599,63,60523.83,3439.97,2,34460244,2023-10-24 07:17:34,-1.882
18,d87213eb-b374-4e5e-844d-33c42203fe60,Miller,665,52,2307.9,13812.21,1,66719691,2023-09-30 00:41:40,-2.1537
19,ef8d1a3a-a0c0-41f2-9b33-e264a282c2a7,Rodriguez,604,65,24352.43,47175.41,1,30256339,2023-10-21 04:05:55,-0.3793
20,c5d2621d-4781-4fa9-a7bf-0ef651d6bb53,Rodriguez,579,32,21021.08,11788.49,2,58119076,2023-01-20 14:45:13,-1.3977
21,ab7b3cee-db20-4e0e-af97-c0b7612a3441,Garcia,723,24,84825.76,107669.59,0,75992531,2023-07-19 15:38:08,1.6897
22,a54d09c8-232c-47ce-94cd-b45fe46c6b1c,Smith,638,32,170646.4,90077.99,1,10228621,2023-05-19 06:46:44,-0.0214
23,022c3f57-b951-4c00-b109-1159abac9a9f,Wilson,653,62,30890.97,84578.57,0,16983568,2023-07-09 19:05:06,0.2167
24,4f48215f-4e2d-4483-ab50-a70573fd0afa,Wilson,578,23,87101.71,101610.8,1,33560462,2023-10-11 03:19:05,-1.0898
25,c67c9444-6402-4f9c-a451-44d25c951fa0,Johnson,622,64,60147.78,14884.75,2,73019696,2023-05-26 02:37:14,-1.121
26,6183f216-9c97-4ba4-9e9d-b248ccf54d4d,Williams,655,34,171150.66,78314.36,1,26344929,2023-03-31 08:06:21,1.5512
27,09f2d8fd-c6e5-41c3-a3ff-b89145428263,Jones,592,21,83329.13,26336.49,2,42797300,2023-06-30 02:30:04,1.7824
28,32552912-f203-422b-a567-9ba1da5ee9f1,Jones,668,39,4032.21,65948.8,0,37874439,2023-11-28 21:26:53,0.4158
29,a06dbe27-7668-423c-a6db-063388fdd15a,Wilson,619,49,62462.76,7808.01,2,46795369,2023-04-18 11:16:54,-2.0317
30,f502afdd-ce2a-41db-8318-9f823afe0565,Garcia,635,39,38339.66,73366.22,1,36564866,2023-05-29 20:06:05,-0.4255
31,181dec3a-482c-44b1-8cee-4ab39353494f,Johnson,619,44,828.63,214764.34,0,40972234,2023-12-30 21:55:05,0.3133
32,19664887-c08f-4700-b58c-5aafb1086af5,Johnson,742,63,14471.71,2674.77,1,59687944,2023-12-24 14:15:57,-0.228
33,61919b6c-201c-45c4-97a5-e17b94392e34,Garcia,649,32,127395.67,5911.63,2,40362382,2023-02-26 14:34:34,-2.1202
34,a3de41a8-d9d4-4606-b3c4-d3ed9bb1fd38,Smith,597,61,130225.99,7918.48,2,50060447,2023-03-26 05:26:04,1.8495
35,80d95e7a-8ab7-4e45-9c7c-1e0f971649f2,Rodriguez,691,68,80185.33,33786.52,1,54430589,2023-12-24 20:21:11,-0.8355
36,0d82b8f9-79e2-4278-9caa-b30244b2285f,Johnson,588,39,200260.68,20615.39,2,51838581,2023-08-07 20:53:40,-1.3411
37,8fd0e13d-5ee5-46fc-874a-656e10ad7059,Jones,660,45,82135.58,98679.09,1,60010378,2023-09-19 16:27:05,-0.0309
38,f69a7af2-6207-4b83-9061-d2f229113b38,Williams,552,59,512.83,38522.98,1,94318082,2023-04-29 12:21:09,1.1843
39,805f19a4-822c-47d4-97ea-159946d07b0d,Jones,583,55,16972.24,39761.43,1,32127385,2023-01-22 06:48:53,0.513
40,002c1faf-faca-4187-9f21-3b0639514dad,Garcia,659,26,1555.15,75746.58,0,38746758,2023-07-14 22:16:04,-1.3156
41,466b0bca-f518-49fe-9822-6c163a4cfa45,Garcia,686,51,4941.76,26962.1,1,82397238,2023-10-23 04:28:09,-1.4806
42,c34ef6b8-50c1-4d92-9643-d7b21b27ddeb,Miller,658,53,12348.82,26143.76,1,61779587,2023-02-19 04:20:37,-2.1916
43,67a7a557-9dba-4d0a-bd6a-262afa919379,Rodriguez,644,26,35014.49,84863.46,0,99892381,2023-12-25 02:03:25,-0.2916
44,ad794dd1-31a6-4556-b0b8-2b0f47861104,Davis,634,32,94040.03,90859.05,1,92379429,2023-04-02 06:32:00,-0.4731
45,6ce982aa-372f-4c89-804e-08b34eb03d96,Johnson,576,62,99013.04,870.21,2,68906930,2023-09-04 19:38:44,0.5139
